기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 전국
기간 : 1973~2022 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-01,전국,-3.4,-8.2,2.3
1986-02,전국,-2,-6.9,3.6
1986-03,전국,5.1,-0.2,11.4
1986-04,전국,12,5.5,18.9
1986-05,전국,16.8,11.1,22.9
1986-06,전국,21,16.8,25.8
1986-07,전국,22.9,19.7,26.9
1986-08,전국,24.6,20.7,29.6
1986-09,전국,19,14.6,24.5
1986-10,전국,12.4,7.5,18.3
1986-11,전국,6,0.9,12.2
1986-12,전국,2.9,-1.5,8.1
1987-01,전국,-1.1,-5.6,4.1
1987-02,전국,1.3,-3.2,6.7
1987-03,전국,4.9,0.1,10.4
1987-04,전국,11.2,5,17.9
1987-05,전국,16.8,11,23.1
1987-06,전국,21.2,16,27
1987-07,전국,23.8,20.6,27.7
1987-08,전국,24.3,21.3,28.4
1987-09,전국,19.1,14.3,25.1
1987-10,전국,15.1,9.7,21.7
1987-11,전국,7.7,2.5,13.9
1987-12,전국,1.5,-3.5,7.9
1988-01,전국,-0.5,-5.2,4.9
1988-02,전국,-0.6,-5.6,5.3
1988-03,전국,4.3,-0.8,10
1988-04,전국,11.4,5,18
1988-05,전국,17,11.2,23.4
1988-06,전국,21.4,17,26.7
1988-07,전국,24,20.9,27.9
1988-08,전국,25.2,21,30.5
1988-09,전국,20.3,15.7,26.1
1988-10,전국,14.3,8.3,21.5
1988-11,전국,5.9,0.2,12.5
1988-12,전국,1,-3.9,6.9
1989-01,전국,1.3,-2.5,5.9
1989-02,전국,2.6,-1.9,8
1989-03,전국,5.9,0.8,11.8
1989-04,전국,13.3,6.5,20.6
1989-05,전국,17.5,11.7,23.8
1989-06,전국,20.1,15.5,25.4
1989-07,전국,23.8,20.4,28.2
1989-08,전국,24.6,20.5,29.3
1989-09,전국,20.2,16.2,25.2
1989-10,전국,13.2,7.4,20.3
1989-11,전국,7.4,3,12.8
1989-12,전국,2.4,-2.1,7.8
1990-01,전국,-2,-6.5,3.1
1990-02,전국,3.3,-0.4,7.5
1990-03,전국,7,1.9,12.7
1990-04,전국,11.1,5.5,16.9
1990-05,전국,16.3,11.4,21.7
1990-06,전국,21,17.2,25.6
1990-07,전국,25.1,21.9,29.4
1990-08,전국,26.2,22,31.7
1990-09,전국,20.7,16.7,25.8
1990-10,전국,14.1,8.6,21.3
1990-11,전국,9.7,4.6,15.9
1990-12,전국,1.3,-3.3,7.2
1991-01,전국,-1.4,-6,4.1
1991-02,전국,-0.5,-5.1,4.8
1991-03,전국,5.1,0.4,10.8
1991-04,전국,11.9,5.2,19.1
1991-05,전국,16.6,10.8,22.6
1991-06,전국,22,17.5,27.1
1991-07,전국,24.1,21.1,27.8
1991-08,전국,23.7,19.9,28.3
1991-09,전국,20.3,16.1,25.5
1991-10,전국,13.2,7.2,20.4
1991-11,전국,6.4,0.6,13.3
1991-12,전국,2.8,-1.7,8.3
1992-01,전국,0.4,-3.8,5.7
1992-02,전국,0.9,-4.3,6.9
1992-03,전국,6.7,1.8,12.4
1992-04,전국,11.8,5.7,18.3
1992-05,전국,15.8,10.1,21.9
1992-06,전국,20,14.7,25.8
1992-07,전국,24.8,21,29.6
1992-08,전국,24.1,20.7,28.4
1992-09,전국,20.1,15.8,25.3
1992-10,전국,13.1,8,19.6
1992-11,전국,6.3,0.9,12.9
1992-12,전국,2.2,-2.2,7.3
1993-01,전국,-1.3,-5.7,3.8
1993-02,전국,1.5,-3.5,7.3
1993-03,전국,5,-0.4,11.3
1993-04,전국,10.9,4.7,17.5
1993-05,전국,16.7,11,23.1
1993-06,전국,20.6,16.7,25.5
1993-07,전국,22.1,18.6,26.3
1993-08,전국,22,18.5,26.3
1993-09,전국,19.7,14.6,25.6
1993-10,전국,12.6,6.5,19.5
1993-11,전국,8.4,4.1,13.4
1993-12,전국,0.7,-4.1,6.2
1994-01,전국,-0.9,-5.7,4.9
1994-02,전국,0.8,-4.4,7
1994-03,전국,4,-1.4,9.8
1994-04,전국,13.5,6.7,20.6
1994-05,전국,17.2,11.3,23
1994-06,전국,21,15.7,26.8
1994-07,전국,27.7,23.4,33.1
1994-08,전국,26.7,22.5,31.6
1994-09,전국,20.1,14.6,26.5
1994-10,전국,14.2,8.9,20.8
1994-11,전국,9,3.4,15.5
1994-12,전국,2,-3.1,7.6
1995-01,전국,-1.5,-6.5,4
1995-02,전국,0.8,-4.9,7.6
1995-03,전국,5.7,0.5,11.6
1995-04,전국,11,4.2,18
1995-05,전국,16,9.6,22.3
1995-06,전국,20.1,15.4,25.5
1995-07,전국,24.3,20.9,28.6
1995-08,전국,26.1,22.5,30.8
1995-09,전국,18.9,14.2,24.5
1995-10,전국,14.4,8.6,21.3
1995-11,전국,5.9,-0.1,13.1
1995-12,전국,-0.6,-5.7,5.4
1996-01,전국,-1.3,-6.3,4.5
1996-02,전국,-1.1,-6.4,5.2
1996-03,전국,4.4,-0.7,10
1996-04,전국,9.9,3.5,16.3
1996-05,전국,16.8,10.6,23.5
1996-06,전국,20.9,17.3,25.3
1996-07,전국,23.9,20.2,28.7
1996-08,전국,25.1,21.2,30.2
1996-09,전국,20.3,15.1,26.9
1996-10,전국,13.9,8.3,20.8
1996-11,전국,7,2.2,12.4
1996-12,전국,1.4,-3.9,8
1997-01,전국,-1.9,-7.2,4
1997-02,전국,1,-5,7.8
1997-03,전국,6.5,0.7,13.1
1997-04,전국,12.1,5.9,18.7
1997-05,전국,16.9,11.6,22.7
1997-06,전국,21.7,16.6,27.7
1997-07,전국,24.5,20.9,29.2
1997-08,전국,25.1,21.2,30
1997-09,전국,19.4,14.4,25.5
1997-10,전국,13.2,6.7,20.4
1997-11,전국,8.6,3.5,14.7
1997-12,전국,2.1,-2.4,7.4
1998-01,전국,-0.5,-5,4.4
1998-02,전국,3.2,-1.8,9
1998-03,전국,7.1,1.4,13.5
1998-04,전국,14.7,9.8,20.5
1998-05,전국,17.8,12.3,23.8
1998-06,전국,20,16.2,24.4
1998-07,전국,24,21,27.7
1998-08,전국,24.7,21.5,28.9
1998-09,전국,21.6,17.2,27.1
1998-10,전국,16.1,11.2,22
1998-11,전국,7.5,2,13.9
1998-12,전국,2.5,-2.7,8.9
1999-01,전국,0,-5.2,5.7
1999-02,전국,1.4,-3.9,7
1999-03,전국,6.2,0.5,12.3
1999-04,전국,12.5,6.4,19.1
1999-05,전국,16.8,10.8,23
1999-06,전국,21.5,16.6,27
1999-07,전국,23.7,20.3,27.8
1999-08,전국,24.3,20.9,28.7
1999-09,전국,22,18.4,26.7
1999-10,전국,13.7,8.7,19.8
1999-11,전국,7.5,2.4,13.7
1999-12,전국,1,-4.1,6.7
2000-01,전국,-0.5,-4.8,4.2
2000-02,전국,-0.7,-6,4.9
2000-03,전국,6,-0.3,12.7
2000-04,전국,11.3,5,17.9
2000-05,전국,16.8,11.1,23.2
2000-06,전국,21.4,16.9,26.9
2000-07,전국,25.4,21.6,30.3
2000-08,전국,25.2,21.8,29.8
2000-09,전국,19.3,15.5,24.3
2000-10,전국,14.1,9,20.4
2000-11,전국,6.7,1.7,12.9
2000-12,전국,1.4,-3.9,7.5
2001-01,전국,-2.3,-6.8,2.6
2001-02,전국,0.8,-4.1,6.4
2001-03,전국,5.3,-0.3,11.5
2001-04,전국,12.5,5.4,19.8
2001-05,전국,18.1,12.6,24.3
2001-06,전국,21.6,17.5,26.6
2001-07,전국,25.4,21.6,30.1
2001-08,전국,25,20.9,30.4
2001-09,전국,20.4,15.3,26.6
2001-10,전국,15.2,10.6,21.2
2001-11,전국,6.5,1.1,13.2
2001-12,전국,0.3,-4.3,5.7
2002-01,전국,1,-3.3,5.8
2002-02,전국,2.2,-3.4,8.6
2002-03,전국,7.7,1.6,14.2
2002-04,전국,13.2,7,19.5
2002-05,전국,16.7,11.5,22.5
2002-06,전국,20.9,15.6,26.8
2002-07,전국,24.3,20.9,28.5
2002-08,전국,23.6,20.9,27.4
2002-09,전국,19.8,15.4,25.5
2002-10,전국,12.5,7.3,18.8
2002-11,전국,4.5,-0.8,10.2
2002-12,전국,1.9,-2.4,6.9
2003-01,전국,-2.2,-6.9,3.1
2003-02,전국,2.1,-2.5,7.4
2003-03,전국,5.8,0.7,11.3
2003-04,전국,12.3,7,18.2
2003-05,전국,17.3,11.8,23.4
2003-06,전국,20.7,16.6,25.6
2003-07,전국,22.3,19.3,26.1
2003-08,전국,23.6,20.4,27.8
2003-09,전국,20.7,16.8,25.7
2003-10,전국,13.2,7.5,20
2003-11,전국,9.5,4.8,14.9
2003-12,전국,1.7,-3,6.9
2004-01,전국,-1.2,-6,4.5
2004-02,전국,2.7,-3,8.9
2004-03,전국,6.2,0.1,12.7
2004-04,전국,12.7,5.9,19.7
2004-05,전국,17.2,12.2,22.6
2004-06,전국,21.6,16.7,27.2
2004-07,전국,25,21.7,29.3
2004-08,전국,24.8,21.2,29.7
2004-09,전국,20.6,16.5,25.9
2004-10,전국,14,8,21
2004-11,전국,8.7,3.4,15.2
2004-12,전국,2.8,-2.1,8.6
2005-01,전국,-1.4,-6.2,3.8
2005-02,전국,-0.8,-5.5,4.2
2005-03,전국,4.5,-1,10.6
2005-04,전국,13,6.5,19.7
2005-05,전국,16.8,10.7,23.5
2005-06,전국,22.2,17.8,27.6
2005-07,전국,24.7,21.4,29
2005-08,전국,24.8,21.5,29.4
2005-09,전국,21.5,17.8,26.2
2005-10,전국,14,9,20.3
2005-11,전국,8,2.3,14.5
2005-12,전국,-2.6,-7.5,2.8
2006-01,전국,0.3,-4.2,5.5
2006-02,전국,0.9,-4,6.2
2006-03,전국,5.7,-0.3,12
2006-04,전국,11.1,5.8,16.8
2006-05,전국,17.1,12,22.9
2006-06,전국,21.1,16.6,26.6
2006-07,전국,23,20.4,26.6
2006-08,전국,26.3,22.5,31.5
2006-09,전국,19.3,14.6,24.9
2006-10,전국,16.5,11.2,23.4
2006-11,전국,8.5,3.5,14.1
2006-12,전국,1.7,-2.8,7.3
2007-01,전국,0.6,-4,6.3
2007-02,전국,3.8,-1.7,10.4
2007-03,전국,6.6,1.5,12.4
2007-04,전국,11.4,5.4,17.7
2007-05,전국,17.5,12,23.7
2007-06,전국,21.5,16.9,26.7
2007-07,전국,23.5,20.4,27.6
2007-08,전국,25.9,22.6,30.2
2007-09,전국,21.1,18,25.2
2007-10,전국,14.7,10,20.7
2007-11,전국,6.7,1.3,13.3
2007-12,전국,2.3,-1.8,7.3
2008-01,전국,-0.5,-4.6,4.2
2008-02,전국,-0.7,-6.2,5.4
2008-03,전국,6.8,1.1,13.1
2008-04,전국,12.8,6.6,19.4
2008-05,전국,17.2,11.3,23.5
2008-06,전국,20.3,16.1,25.2
2008-07,전국,25.9,22.5,30.3
2008-08,전국,24.5,20.5,29.4
2008-09,전국,21.2,16.8,27
2008-10,전국,15.5,10.2,22.2
2008-11,전국,7.5,2.5,13.4
2008-12,전국,1.8,-3.2,7.5
2009-01,전국,-1.4,-6.5,4.5
2009-02,전국,3.9,-1.2,9.4
2009-03,전국,6.7,1,12.6
2009-04,전국,12.3,5.9,19.3
2009-05,전국,18.1,12,24.7
2009-06,전국,21.7,16.9,27
2009-07,전국,23.5,20.1,27.8
2009-08,전국,24.3,20.5,28.9
2009-09,전국,20.7,16.1,26.4
2009-10,전국,15,9.3,22
2009-11,전국,7.5,3.2,12.6
2009-12,전국,0.6,-3.7,5.6
2010-01,전국,-2.2,-7.3,3.3
2010-02,전국,2,-2.4,7
2010-03,전국,5.2,0.8,9.7
2010-04,전국,9.6,4.2,15.3
2010-05,전국,16.9,11.3,22.9
2010-06,전국,22.2,17.1,28
2010-07,전국,25.2,22,29.4
2010-08,전국,26.6,23.6,30.9
2010-09,전국,21.6,17.7,26.8
2010-10,전국,14.2,9.2,20.4
2010-11,전국,6.7,0.9,13.3
2010-12,전국,0.5,-4.5,6
2011-01,전국,-5.2,-10.5,0.2
2011-02,전국,1.6,-3.7,7.7
2011-03,전국,4.3,-1.2,10.3
2011-04,전국,11,4.8,17.3
2011-05,전국,17.1,11.9,22.7
2011-06,전국,21.8,17.3,27
2011-07,전국,24.9,21.9,28.8
2011-08,전국,24.9,22,29
2011-09,전국,20.8,16.4,26.1
2011-10,전국,13.5,8,20
2011-11,전국,10.7,6.4,15.7
2011-12,전국,0.3,-4.1,5.2
2012-01,전국,-1.5,-6.2,3.6
2012-02,전국,-1.1,-6.2,4.5
2012-03,전국,5.4,0.7,10.4
2012-04,전국,12.4,6.4,18.7
2012-05,전국,18.1,12.6,24.4
2012-06,전국,21.9,17.7,27.1
2012-07,전국,25.2,21.8,29.6
2012-08,전국,26.2,22.8,30.5
2012-09,전국,19.9,15.8,25
2012-10,전국,14,8.3,20.8
2012-11,전국,6.2,1.5,11.4
2012-12,전국,-2.1,-6.5,2.7
2013-01,전국,-2.5,-7.4,2.9
2013-02,전국,0.4,-4.6,5.5
2013-03,전국,6.4,0,13.3
2013-04,전국,10.1,4.1,16.1
2013-05,전국,17.6,11.8,24
2013-06,전국,22.5,18.3,27.6
2013-07,전국,26,23,29.9
2013-08,전국,27,23.1,32
2013-09,전국,20.9,16.6,26.2
2013-10,전국,15.1,9.9,21.5
2013-11,전국,6.7,1.9,12.3
2013-12,전국,1.1,-3.4,6.1
2014-01,전국,0.2,-5.2,6
2014-02,전국,2.3,-2.5,7.7
2014-03,전국,7.5,1.8,13.4
